Drug_Name,Description
Paracetamol,Used for pain relief and fever reduction.
Ibuprofen,Nonsteroidal anti-inflammatory drug used for pain and inflammation.
Aspirin,"Pain reliever and anti-inflammatory, also used as blood thinner."
Amoxicillin,Antibiotic used to treat bacterial infections.
Ciprofloxacin,Broad-spectrum antibiotic used to treat various bacterial infections.
Cetirizine,Antihistamine used for allergy relief.
Metformin,Used to treat type 2 diabetes by controlling blood sugar levels.
Atorvastatin,Lowers cholesterol and triglyceride levels.
Omeprazole,"Used to treat acid reflux, heartburn and stomach ulcers."
Lisinopril,Used to treat high blood pressure and heart failure.
